# names: 7036 rows -- regenerate with `make baseline`
AC1	sharp
Armoricae	some of the northern provinces of Gaul, Bretagne
Armosata	fortress in Armenia
Armuzia	region in Caramania
Arna1	town in Umbria, a mile east of Perusia
Arne1	town in Boeotia
Arne2	woman who betrayed her country
Arnobius	African Church father in the time of Diocletian, c
Arnus	river of Etruria, now the Arno
Aroneus	of or pertaining to the high-priest Aaron
Arpi	city in Apulia, earlier called Argyripa
Arpinum	town in Latium, the birthplace of Cicero and Marius
Arpinus	Of or from Arpi
Arria	wife of Poetus, distinguished for her magnanimity
Arrotrebae	promontory in Hispania
Arrubium	town on the Danubius in Scythia Minor, Tab
Arruntius	Roman family name
Arsaces	first king of the Parthians
Arsenaria	Roman colony in Mauretania Caesariensis, now Arzew
Arsia1	small river of Istria
Arsia2	forestin Etruria
Arsinoe	mother of the third Mercury
Artabanus	Parthian king of the family of the Arsacidoe
Artacie	fountain in the country of the Loestrygones
Artaxata	capital of Armenia Major, on the Araxes, now Ardaschad
Artaxerxes	name of several Persian kings
Artemis	Greek name of Diana
Artemisia	Wife of King Mausolus, in Caria
Artemisium	promontory of the island Euboea
Artemita	city of Assyria or, perh. more strictly, of Babylonia
Artotrogus	name of a parasite
Artotyritae	heretics who made offerings of bread and cheese
Aruns	Etruscan name of the younger son
Arupium	town in Illyria, now Auersperg, Itin
Arverni	people of Gaul, in the present Auvergne
Asbolus	black, shaggy dog of Actoeon
Ascalaphus	son of Acheron and Orphne
Ascalo	important trading town in the southern part of Palestine
Ascania	region in Phrygia
Ascanius1	Ascanian
Ascanius2	son of Aeneas and Creusa, king of Lavinium
Asciburgium	ancient town in Gallia Belgica, on the Rhine
Asclepiades	distinguished physician of Prusa, in Bithynia, friend of Crassus
Asclepiodotus	biographer of Diocletian
Ascletario	mathematician in the time of Domitian
Asconius	learned grammarian of Padua
Ascra	village in Boeotia, near Mount Helicon
Asculum	capital of Picenum, now Ascoli
Asellio	one of the early Roman historians
Asia1	town in Lydia
Asiagenes	surname of Scipio Asiaticus
Asianus	Asiatic, belonging to the Roman province of Asia
Asiarcha	high-priest
Asiaticianus	of the Asiatic style
Asiaticus	Asiatic
Asine	town in Messenia
Asinius	Roman family name
Asmiraea	district and city in Serica
Asmura	town in Hyrcania
Asnaus	mountain in Macedonia, Liv 32, 5
Asoi	plur m., a people of India
Asopiades	grandson of Asopus
Asopus	river in Boeotia
Aspar	Numidian
Asparagium	town in Illyria, on the river Genusus, now Iskarpar
Aspasia	accomplished friend of Socrates, afterwards wife of Pericles
Aspendos	town built by the Argives, in Pamphylia
Asper2	cognomen of L. Trebonius
Asphaltites	Lake Asphaltites
Assabinus	deity of the Ethiopians
Assaracus	King of Phrygia, son of Tros
Assius	of or pertaining to the city Assus
Assyria	country of Asia, between Media, Mesopotamia
Asta2	town
Astabores	branch of the Nile in Ethiopia
Astacus2	father of Menalippus
Astacus3	town in Bithynia
Astapa	town in Hispania Baetica, now Estepa
Astapus	name of the Nile as it flows through Ethiopia
Astarte	Syro-Phoenician goddess
Asteria2	daughter of Polus and Phoebe
Asterion2	river in Argolis
Astomi	Indian people, said to have no mouths
Astraba	wooden saddle, a sumpter-saddle
Astraea	goddess of Justice
Astraeus	Titan, husband of Aurora
Astragalizontes	dice-players
Astrape	Flash of Lightning
Astroarche	star-queen, a Phoenician goddess
Astur2	of or belonging to the province of Asturia
Astura	river in Asturia, now Esla
Asturco	Asturian horse, an ambler
Asturia	province in Hispania Tarraconensis
Astyages	King of Media, father of Mandane
Astyanax	Son of Hector and Andromache
Astylos	centaur and soothsayer
Astypalaea	One of the Sporades, an island near Crete
Astyra	city of Mysia Major, not far from Adramyttium
Asum	town in Crete
Atabulus	burning wind blowing in Apulia, now called sirocco
Atacinus	pertaining to the river Atax, in Gallia Narbonensis, Atacian
Atalanta	daughter of King Schoeneus, in Boeotia
Atargatis	Syrian deity, called also Derceto
Atarnea	town in Mysia
Atax	small river in Gallia Narbonensis, now Aude
Atella	ancient town of the Osci, in Campania
Ater2	mountain in the interior of Africa, north of Phazania
Aternius	Roman family name
Aternus	river in Samnium emptying into the Adriatic Sea
Ateste	town in the country of the Venetians
Athacus	town in Macedonia
Athamania	district in Epirus, on or near Mount Pindus
Athamas	Son of Aeolus, grandson of Hellen, king in Thessaly
Athanagia	town in Hispania Tarraconensis, now acc. to Ukert, Agramant
Athanasius	celebrated archbishop of Alexandria in the time
Athanatus	man of gigantic stature and superhuman strength
Athenae	Athens, the capital of Attica
Athenaeopolitae	inhabitants of Athenoe, an otherwise unknown town
Athenaeum	fortress in Athamania
Athenaeus1	Pertaining to the city of Athens, Athenian, of Athens
Athenaeus2	Greek grammarian of Naucratis
Atheniensis	of or pertaining to Athens, Athenian
Athenio	slave, leader in a slave - insurrection in Sicily
Atherianus	of or pertaining to a jurist Atherius, Atherian
Athesis	river in Upper Italy, now the Adige
Athis	son of Limnate
Athos	o in Athos
Atilius	Roman gentile name
Atina	town in Latium, still called Atina
Atinius	Roman family name
Atintania	region in Epirus, on the borders of Macedonia
Atius	Roman family name
Atlantigena	begotten of Atlas, daughter of Atlas
Atlas	high mountain in Mauretania
Atramitae	people in the eastern part of Arabia Felix
Atratus2	small river in the vicinity of Rome
Atrax	river in Aetolia
Atrebates	people in Gallia Belgica
Atreus	son of Pelops
Atrius	officer in Coesar's army
Atropatene	northern, mountainous part of Media, now Aderbigian
Atropos	one of the three Parcoe
Atta2	surname for persons who walk upon the tips
Attalea	name of a Greek city
Attalenses	inhabitants of the town Attalea or Attalia
Attalis	Attalian tribe in Athens
Attalus	name of several kings of Pergamos
Atteius	name of several Latin grammarians
Attica	most distinguished province of Greece, situated in Hellas proper
Attice2	Attic
Atticula	daughter of Atticus
Atticurges	made in the Attic manner
Atticus	of or pertaining to Attica or Athens, Attic, Athenian
Attis	young Phrygian shepherd
Attius	Roman proper name
Attuarii	German tribe between the Rhine and the Elbe
Aturus	u, sometimes written Aturrus
Atys	son of Hercules and Omphale
Auchetae	Scythian people in the present Ukraine
Aufeius	of or belonging to the gens Aufeia
Aufidena	town in Samnium, on the river Sagrus, now Alfidena
Aufidius	Roman family name
Aufidus	river in Apulia
Auge	Daughter of Aleus and Neoera of Tegea, in Arcadia
Augias	son of the Sun and Naupidame
Augurinus	surname of the Minucii in the Fasti Capitolini
Augusta	litle of the mother, wife, daughter
Augustalicius	one clothed with the dignity of priest of Augustus
Augustalis	relating to the emperor Augusius, of Augustus, Augustan
Augustalitas	dignity of priest of Augustus
Augustamnica	designation, after the time of Diocletian
Augustanus	Of or pertaining to Augustus
Augusteus	of or belonging to Augustus, Augustan
Augustinus1	of or pertaining to Augustus
Augustinus2	Roman surname, as D. Aurelius Augustinus, St. Augustine
Augustobrigenses	inhabitants of the city Augustobriga in Lusitania
Augustodunum	iown of the Aedui, in Gaul, now Autun
Augustus2	surname of Octavius Coesar after he attained to undivided authority
Aulerci	people in Celtic Gaul
Aulestes	Tuscan, a confederate of Aeneas
Auletes	flute-player, the surname of the exiled Egyptian king Ptolemy
Aulis	seaport town in Boeotia
Aulon	vine - bearing mountain and adjacent valley in Calabria
Aulularia	comedy of Plautus
Aulus2	Roman proenomen
Aurelianus	Roman emperor
Aurelius	Roman family name
Aurigena	sprung or produced from gold, gold-begotten
Aurinia	prophetess held in great veneration by the Germans
Aurinini	older name for Saturnini
Aurunculeius	Roman family name
Auruspi	people of Ethiopia
Auser	tributary stream of the river Arno, in Etruria
Ausetanus	of or pertaining to the city Ausa
Ausona	ancient town of the Ausones, near Minturnoe
Ausones	Ausonians, a very ancient, perhaps Greek
Ausonius	distinguished poet, rhetorician
Austrania	island to the north of Germany
Austro1	south - southwest wind
Autololes	Getulian people on the west coast of Africa
Autolycus	son of Mercury and Chione, father of Anticlea
Automedon	son of Diores and charioteer of Achilles
Autonoe	Daughter of Cadmus, wife of Aristoeus
Auvona	river in Britain, now the Avon
Auximum	town of the Piceni, now Osimo
Auxo	one of the Hours, daughter of Jupiter and Themis
Auzea	place in Mauretania Caesariensis, afterwards a Roman colony
Avaricum	large and fortified town of the Bituriges, in Gaul
Avenio	town in Gallia Narbonensis, now Avignon
Aventinus	Aventine, one of the seven hills of Rome
Avernalis	of or pertaining to Lake Avernus
Avernus	Without birds
Averruncus	averting deity
Avienus	Roman poet in the last half of the fourth century
Avitus2	Roman surname
Axenus	earlier name of the Pontus Euxinus
Axius1	Roman family name
Axius2	river in Macedonia, now the Vardar
Axon2	river in Caria
Axona	river in Gaul, now the Aisne
Axylos	poorly wooded region in Galatia
Aza	town in Armenia Minor
Azali	people of Pannonia
Azan	people in Arcadia
Azanius	Azanian
Azorus	town of Thessaly, at the foot of Mount Olympus
Azotus	city of Palestine, near the coust
Baal	Syrian deity
Babba	town in Mauritania, called, as a Roman colony
Babel	capital city of Assyria
Babia	town of Lower Italy
Babilus	astronomer of the time of Nero
Babullius	rich friend of Coesar
Babylo	name of a slave
Babylon	ancient and renowned chief city of Babylonia
Baccha1	Bacchanet, a female attendant of Bacchus
Baccha2	kind of Spanish wine
Bacchanal	place devoted to Bacchus
Bacchanalis	relating to Bacchus, Bacchanalian
Baccharia	name of a lost play of Plautus
Baccheis	of or pertaining to Bacchis
Baccheus	Of Bacchus, Bacchic
Bacchiadae	Bacchiadoe, a very ancient royal family of Corinth
Bacchisonus	sounding of Bacchus
Bacchius3	Greek proper name
Bacchus1	son of Jupiter and a Theban woman, Semele
Bacchus2	sea-fish
Bacchylides	Greek lyric poet of Ceos, a nephew of Simonides
Bacenis	great forest in Germany
Bacis1	soothsayer of Boeotia
Bacis2	sacred bull, worshipped at Hermonthis in Upper Egypt
Bactra	chief city of Bactria or Bactriana, now Balkh
Bactrus	river near Bactra, now Dehas
Badia	town of Hispania Baetica, now Sa. Maria de Bedoza
Baduhennae lucus	forest in the north of Germany, in Friesland
Baebius	Roman family name
Baecula	small town in Spain, on the borders of Boetica
Baeticatus	clothed in Boetican wool
Baeticola	dwelling on the river Boetis
Baetigena	born on the Boetis
Baetis	river in Southern Spain, called by the inhabitants Certis
Baetulo	river of Hispania Tarraconensis, now the Besos
Baeturia	Boeturia, the north-west part of Hispania Baetica
Bagada	town of Ethiopia
Bagaudae	class of peasants in Gaul
Bagous	eunuch at the Persian court
Bagrada	river in Zeugitana, in Africa, near Utica, now Mejerdah
Baiae	small town in Campania
Balatro2	cognomen of Servilius
Balbillus	scholar, prefect in Egypt
Balbus2	Roman surname
Balcia	large island
Baliares	Balearic Islands, Majorca and Minorca, in the Mediterranean Sea
Balinienses	name given to the Trebulani
Balista2	mountain in Liguria
Ballio	name of a worthless pimp in the Pseudolus of Plautus
Ballonoti	Scythian tribe
Balsa	town in Lusitania, now Javira
Bambyce	town in Coelosyria
Bandusia	pleasant fountain near Venusia, the birthplace of Horace
Bangeni	race of Troglodytes in Ethiopia
Bantia	town of Apulia, in the vicinity of Venusia
Baphyrus	river in Thessaly, near Mount Olympus
Barace	seaport of India
Baragaza	town of Ethiopia
Baraomutae	people of India
Barba2	Roman name
Barbana	river of Illyria
Barbatia	town in Arabia
Barcas	ancestor of a distinguished family in Carthage to which Hamilcar
Barce	town in the Libyan province Pentapolis, afterwards called Ptolemais
Barcino	present city Barcelona, in Spain
Bardaei	Illyrian people
Bardulis	king of Illyria
Barea1	town in Hispania Tarraconensis
Barea2	Roman surname
Bargullum	town of Epirus
Bargus	river of Thrace, tributary to the Ebrus
Bargusii	people in Hispania Tarraconensis, near the Pyrenees
Bargyliae	town in Caria, Liv 32, 33, 7
Bargylus	mountain of Phoenicia
Barine	name of a freedwoman
Barium	town in Apulia, on the Adriatic Sea, now Bari
Barnosthenes	mountain in Laconia, east of Sparta
Barpana	island east of Corsica
Barrus2	cognomen of T. Betucius
Basaboiates	people of Gallia Aquitania
Basilea	town Basel or Bale, in Switzerland
Basilia1	name of the books of Kings in the Bible
Basilia2	another name for the island Balcia
Basiliadae	people of Sarmatia
Basilis	Greek geographer
Bassania	town in Illyria, now Elbassan
Bassareus	title of Bacchus
Bassus	family cognomen
Bastarnae	German tribe which became known to the Romans very early
Bastertini	people of Lower Italy
Bastetania	district in Spain
Bastitani	inhabitants of Basti in Spain
Bastuli	people of Hispania Baetica, near the Strait of Gibraltar
Batavia	peninsula Batavia, Holland
Batavodurum	town in Holland. now Wyk by Duurstede
Batavus	pertaining to Batavia, Batavian, of Holland, Dutch
Bateni	people of Asia, on the Oxus
Batha	town in Ethiopia
Bathyllus	Samian boy, beloved by Anacreon
Bathymi	people of Arabia
Bathynias	small river of Thrace, near Byzantium
Bato	leader of insurrection in Dalmatia
Batrachomyomachia	Battle of the Frogs and Mice
Batrachus2	Greek architect at Rome in the time
Battara	Roman whose death is mentioned
Battis	sweetheart of the poet Philetas of Cos
Batton	Greek sculptor
Battus	name given to Aristotle of Thera
Batulum	town in Campania, built by the Samnites
Baucidias	small island in the Gulf of Argolis
Baucis	wife of Philemon, in Phrygia
Baudos	river in Syria
Bauli	place near Baioe, now Bacolo
Bauma	town in Ethiopia, Plin 6, 29, 35, § 179
Bavius	stupid poet, an enemy of Virgil and Horace
Bazaira	district of Asiatic Scythia
Bebryces1	people inhabiting Bebrycia, a province of Asia Minor
Bebryces2	people in Gallia Narbonensis, on the Pyrenees
Bechires	Scythian people on the Pontus Euxinus
Bedesis	river in Gallia Cispadana, now Bedese
Bedriacum	village in Upper Italy, between Verona and Cremona
Beelzebub	chief of evil spirits
Begorrites	lake in Macedonia, now Lake of Kitrine
Belenus	deity worshipped in Noricum and Aquileia
Belgae	Belgians, a warlike people, of German and Celtic origin
Belgium	part of Gallia Belgica
Belial	chief of the evil spirits
Bellerophon	son of Glaucus and grandson of Sisyphus
Bellienus	Roman surname
Bellius	shortened form of the name Duellius
Bellocassi	people on the right bank of the Seine
Bellona	goddess of war, sister of Mars
Bellovaci	people in Gallia Belgica, in the modern Beauvais
Belunum	capital city of a people of Venetia, now Belluno
Belus	Asiatic king of a primitive age
Bembinadia	district in Arcadia
Benacus	deep and rough lake in Gallia Transpadana, near Verona
Bendidius	of or pertaining to Bendis
Beneventum	very ancient city of the Hirpini, in Samnium
Beni	Thracian people on the Hebrus
Benjamin	young est son of the Hebrew patriarch Jacob
Bercorcates	people of Gallia Aquitanica
Berecyntus	mountain on the banks of the river Sangarius
Beregrani	people of Beregria, a town in Picenum
Berelides	group of small islands off the southern coast of Sardima
Bergae	people of Scythia
Bergi	island in the North Sea
Bergimus	deity of the Galli Cenomani, in Upper Italy
Bergistani	community of robbers in Hispania Tarraconensis
